sample_id,task,comparable_needle_count,near_hit_rate,exact_hit_rate,min_distance,max_log10_ratio,max_ratio,last_q_abs_pos,last_q_log10_ratio,last_q_mean_ratio
rank6|global_req742|task=niah_single_2|doc=242,niah_single_2,1,0.24107142857142858,0.11160714285714286,0,3.309098958969116,2037.5062939478419,32510,-0.6284418702125549,0.13231879472732544
rank6|global_req750|task=niah_single_2|doc=250,niah_single_2,1,0.375,0.13839285714285715,0,3.5781893730163574,3786.0763963745544,32504,-0.5372757911682129,0.12802176177501678
rank6|global_req758|task=niah_single_2|doc=258,niah_single_2,1,0.42410714285714285,0.22321428571428573,0,3.8129899501800537,6501.146461484119,32504,-0.5418947339057922,0.12616246938705444
rank6|global_req766|task=niah_single_2|doc=266,niah_single_2,1,0.4107142857142857,0.24107142857142858,0,4.049110412597656,11197.225192679794,32504,-0.7039155960083008,0.12449511885643005
rank6|global_req774|task=niah_single_2|doc=274,niah_single_2,1,0.49107142857142855,0.16071428571428573,0,3.4637057781219482,2908.745859701106,32504,-0.6928983926773071,0.11681605130434036
rank6|global_req782|task=niah_single_2|doc=282,niah_single_2,1,0.6383928571428571,0.29910714285714285,0,3.8211708068847656,6624.770029455371,32504,-0.6234047412872314,0.12188397347927094
rank6|global_req78|task=niah_single_3|doc=78,niah_single_3,1,0.7366071428571429,0.4642857142857143,0,3.513766050338745,3264.1195027586377,32537,-0.7255298495292664,0.1141919195652008
rank6|global_req790|task=niah_single_2|doc=290,niah_single_2,1,0.53125,0.26785714285714285,0,4.2412614822387695,17428.55905137502,32507,-0.6075380444526672,0.13226455450057983
rank6|global_req798|task=niah_single_2|doc=298,niah_single_2,1,0.24107142857142858,0.14732142857142858,0,3.491816282272339,3103.2465573746526,32507,-0.6220930218696594,0.12252789735794067
rank6|global_req806|task=niah_single_2|doc=306,niah_single_2,1,0.3794642857142857,0.10267857142857142,0,3.884242296218872,7660.238582963242,32507,-0.5865318775177002,0.1264059990644455
rank6|global_req814|task=niah_single_2|doc=314,niah_single_2,1,0.6339285714285714,0.3794642857142857,0,4.005814075469971,10134.774160224606,32510,-0.7003428936004639,0.1209837794303894
rank6|global_req822|task=niah_single_2|doc=322,niah_single_2,1,0.21875,0.14732142857142858,0,3.758913993835449,5740.027774426791,32507,-0.47415101528167725,0.12829339504241943
rank6|global_req830|task=niah_single_2|doc=330,niah_single_2,1,0.36607142857142855,0.14285714285714285,0,4.085154056549072,12166.17492781838,32501,-0.6510265469551086,0.12126649916172028
rank6|global_req838|task=niah_single_2|doc=338,niah_single_2,1,0.45982142857142855,0.34375,0,3.675625801086426,4738.335425729251,32504,-0.6282934546470642,0.12409992516040802
rank6|global_req846|task=niah_single_2|doc=346,niah_single_2,1,0.5133928571428571,0.1875,0,3.810241937637329,6460.1401158692015,32504,-0.5580165982246399,0.1261550337076187
rank6|global_req854|task=niah_single_2|doc=354,niah_single_2,1,0.3482142857142857,0.16964285714285715,0,3.871396064758301,7436.9706022290575,32504,-0.5988309979438782,0.12636691331863403
rank6|global_req862|task=niah_single_2|doc=362,niah_single_2,1,0.24107142857142858,0.08035714285714286,0,3.7417144775390625,5517.1460090557875,32504,-0.6797913908958435,0.12155386060476303
rank6|global_req86|task=niah_single_3|doc=86,niah_single_3,1,0.45089285714285715,0.15625,0,3.729893207550049,5368.9975718269125,32534,-0.5969687700271606,0.11728840321302414
rank6|global_req870|task=niah_single_2|doc=370,niah_single_2,1,0.4642857142857143,0.19642857142857142,0,3.747260332107544,5588.050626961128,32504,-0.5299086570739746,0.12740859389305115
rank6|global_req878|task=niah_single_2|doc=378,niah_single_2,1,0.45535714285714285,0.22767857142857142,0,3.9916043281555176,9808.53911119677,32504,-0.5705247521400452,0.12200978398323059
rank6|global_req886|task=niah_single_2|doc=386,niah_single_2,1,0.3705357142857143,0.13392857142857142,0,4.036004543304443,10864.369891498718,32504,-0.6172008514404297,0.12410153448581696
rank6|global_req894|task=niah_single_2|doc=394,niah_single_2,1,0.3125,0.18303571428571427,0,3.6361072063446045,4326.206110017317,32507,-0.6835382580757141,0.12550362944602966
rank6|global_req902|task=niah_single_2|doc=402,niah_single_2,1,0.6473214285714286,0.19642857142857142,0,3.9893321990966797,9757.35708866586,32507,-0.5442565083503723,0.12863032519817352
rank6|global_req910|task=niah_single_2|doc=410,niah_single_2,1,0.2544642857142857,0.13392857142857142,0,3.5198452472686768,3310.131501086221,32507,-0.4986761212348938,0.1368308812379837
rank6|global_req918|task=niah_single_2|doc=418,niah_single_2,1,0.4017857142857143,0.12053571428571429,0,3.653860092163086,4506.71497465949,32501,-0.5685612559318542,0.13452672958374023
rank6|global_req926|task=niah_single_2|doc=426,niah_single_2,1,0.5803571428571429,0.36160714285714285,0,3.479964256286621,3019.703179719909,32507,-0.511700451374054,0.13000422716140747
rank6|global_req934|task=niah_single_2|doc=434,niah_single_2,1,0.3482142857142857,0.09375,0,3.5217511653900146,3324.690063171378,32501,-0.6362730860710144,0.12647029757499695
rank6|global_req942|task=niah_single_2|doc=442,niah_single_2,1,0.5982142857142857,0.21428571428571427,0,2.9151153564453125,822.4610814294341,32510,-0.4958895444869995,0.12833644449710846
rank6|global_req94|task=niah_single_3|doc=94,niah_single_3,1,0.6294642857142857,0.3482142857142857,0,3.530059337615967,3388.9045554862278,32529,-0.6100507378578186,0.12309104204177856
rank6|global_req950|task=niah_single_2|doc=450,niah_single_2,1,0.3080357142857143,0.14732142857142858,0,3.8929834365844727,7815.979949090039,32507,-0.6821364164352417,0.1214827448129654
rank6|global_req958|task=niah_single_2|doc=458,niah_single_2,1,0.36160714285714285,0.13839285714285715,0,3.685490131378174,4847.190980616234,32510,-0.5358276963233948,0.12422285974025726
rank6|global_req966|task=niah_single_2|doc=466,niah_single_2,1,0.4107142857142857,0.25892857142857145,0,3.7108330726623535,5138.461094695927,32507,-0.6014736890792847,0.13146182894706726
rank6|global_req974|task=niah_single_2|doc=474,niah_single_2,1,0.5848214285714286,0.2767857142857143,0,4.014265537261963,10333.930520328615,32507,-0.6997399926185608,0.12823385000228882
rank6|global_req982|task=niah_single_2|doc=482,niah_single_2,1,0.6473214285714286,0.24107142857142858,0,4.076704025268555,11931.746704197396,32501,-0.5967735648155212,0.13075466454029083
rank6|global_req990|task=niah_single_2|doc=490,niah_single_2,1,0.6160714285714286,0.35714285714285715,0,2.960301399230957,912.6439921633079,32510,-0.6856647729873657,0.12461443245410919
rank6|global_req998|task=niah_single_2|doc=498,niah_single_2,1,0.9017857142857143,0.48660714285714285,0,4.538614273071289,34563.22615743282,32507,-0.5875733494758606,0.13609814643859863
rank7|global_req1007|task=niah_single_1|doc=7,niah_single_1,1,0.6696428571428571,0.5044642857142857,0,3.4509024620056152,2824.2456076833355,32477,-0.7273916602134705,0.09516800940036774
rank7|global_req1015|task=niah_single_1|doc=15,niah_single_1,1,0.7142857142857143,0.6205357142857143,0,3.5306684970855713,3393.6613089326834,32480,-0.7426977157592773,0.10121168196201324
rank7|global_req1023|task=niah_single_1|doc=23,niah_single_1,1,0.16517857142857142,0.09821428571428571,0,2.886514663696289,770.0424439455661,32480,-0.7139707207679749,0.10003490746021271
rank7|global_req1031|task=niah_single_1|doc=31,niah_single_1,1,0.8303571428571429,0.7455357142857143,0,3.386829137802124,2436.851911898649,32480,-0.7490633130073547,0.10892091691493988
rank7|global_req1039|task=niah_single_1|doc=39,niah_single_1,1,0.6919642857142857,0.5625,0,4.036026954650879,10864.930551258638,32480,-0.774329662322998,0.09978943318128586
rank7|global_req103|task=niah_single_3|doc=103,niah_single_3,1,0.28125,0.16964285714285715,0,3.3471014499664307,2223.8293102381017,32537,-0.7818791270256042,0.1203850656747818
rank7|global_req1047|task=niah_single_1|doc=47,niah_single_1,1,0.7946428571428571,0.7008928571428571,0,3.706007242202759,5081.6791659040755,32483,-0.8615407347679138,0.09648700058460236
