rank,lambda_rel,g_max,k_max,token_exact_entry_lift,needle_token_exact_entry_rate,random_token_exact_entry_rate,token_isolation_lift,needle_token_isolated_rate,random_token_isolated_rate,needle_cluster_merged_by_ward_rate,needle_token_ward_merged_rate,span_any_ward_merged_rate,K_max_binding_rate,ward_merge_count_mean,k_max_binding_count_mean,new_cluster_attempt_count_mean,span_all_tokens_exact_entry_lift,span_all_tokens_exact_entry_rate,random_span_all_tokens_exact_entry_rate,span_all_tokens_isolation_lift,span_all_tokens_isolated_rate,random_span_all_tokens_isolated_rate,span_any_token_exact_entry_lift,span_any_token_exact_entry_rate,random_span_any_token_exact_entry_rate,span_any_token_isolation_lift,span_any_token_isolated_rate,random_span_any_token_isolated_rate,cluster_size_mean,cluster_size_quantiles.p50,cluster_size_quantiles.p90,cluster_size_quantiles.p99,cluster_size_max,cluster_count_mean,segment_count_mean,sample_groups,sample_groups_with_needle,span_count,needle_token_count,random_token_count,layer_group_count
25,1.0,inf,128,3.600436766851955,0.7267916666666666,0.20186208333333333,8.747970373006517,0.491625,0.05619875,0.3092447916666667,0.07970833333333334,0.3092447916666667,0.8093144186774731,316.3391927083333,316.3391927083333,390.873046875,9.152301403945263,0.3352864583333333,0.036634114583333335,834.4827586206898,0.15755208333333334,0.00018880208333333333,1.6748312714246743,0.9192708333333334,0.5488736979166666,2.09150740412606,0.8606770833333334,0.41151041666666666,1257.6792291666666,135.0,3662.0,14885.0,18263.0,74.53385416666667,390.873046875,1536,1536,1536,48000,4800000,1536
26,1.0,8192,128,3.58741304768134,0.7267291666666666,0.2025775,8.752611083889935,0.49495833333333333,0.05654979166666667,0.3059895833333333,0.0811875,0.3059895833333333,0.8091391256617265,315.7428385416667,315.7428385416667,390.220703125,9.12311780336581,0.3352864583333333,0.03675130208333333,746.875,0.15559895833333334,0.00020833333333333335,1.6740568610248265,0.9192708333333334,0.5491276041666666,2.06860641252209,0.853515625,0.41260416666666666,1256.0252916666666,132.0,3662.0,14885.0,18266.0,74.47786458333333,398.9583333333333,1536,1536,1536,48000,4800000,1536
27,1.0,4096,128,3.555394789129925,0.7269375,0.20446041666666667,8.493457781195701,0.4877916666666667,0.05743145833333333,0.3092447916666667,0.07839583333333333,0.3092447916666667,0.8081519487555372,313.685546875,313.685546875,388.1516927083333,9.011678577653825,0.3365885416666667,0.03735026041666667,714.7058823529412,0.158203125,0.00022135416666666666,1.6717054952872135,0.91796875,0.54912109375,2.063819403995403,0.853515625,0.4135611979166667,1252.2978125,136.0,3662.0,14885.0,18266.0,74.46614583333333,416.85546875,1536,1536,1536,48000,4800000,1536
28,1.0,inf,unclipped,3.248799574477387,0.743125,0.22873833333333332,6.253924124233192,0.5333125,0.08527645833333333,0.0,0.0,0.0,0.0,0.0,0.0,311.2486979166667,8.450704225352112,0.3515625,0.0416015625,254.73684210526318,0.15755208333333334,0.0006184895833333333,1.65068477170388,0.9212239583333334,0.5580859375,1.9467288212615625,0.8645833333333334,0.44412109375,1216.6089583333332,100.0,3660.0,14885.0,18263.0,311.2486979166667,311.2486979166667,1536,1536,1536,48000,4800000,1536
29,1.0,8192,unclipped,3.226217294772041,0.7441041666666667,0.23064291666666667,6.17993579724029,0.5362291666666666,0.086769375,0.0,0.0,0.0,0.0,0.0,0.0,310.296875,8.323133414932682,0.3541666666666667,0.04255208333333333,265.5555555555556,0.15559895833333334,0.0005859375,1.6479802335609892,0.9205729166666666,0.5586067708333333,1.9281050525116488,0.859375,0.4457096354166667,1214.1447083333333,99.0,3639.0,14885.0,18266.0,310.296875,359.908203125,1536,1536,1536,48000,4800000,1536
30,1.0,4096,unclipped,3.1910803537101113,0.7452708333333333,0.233548125,6.034474631874659,0.5334375,0.08839833333333333,0.0,0.0,0.0,0.0,0.0,0.0,309.3483072916667,8.144391408114558,0.35546875,0.043645833333333335,264.1304347826087,0.158203125,0.0005989583333333333,1.6437558247903075,0.9186197916666666,0.5588541666666667,1.9168490153172866,0.85546875,0.4462890625,1209.5121458333333,100.0,3635.3999999999796,14885.0,18266.0,309.3483072916667,418.2727864583333,1536,1536,1536,48000,4800000,1536
31,0.875,inf,128,3.188934376691559,0.7585,0.23785375,8.228588659060591,0.5230416666666666,0.06356395833333334,0.42578125,0.1440625,0.42578125,0.8912971066524757,660.2428385416666,660.2428385416666,740.7662760416666,8.908177249885792,0.380859375,0.04275390625,642.5531914893617,0.19661458333333334,0.00030598958333333335,1.5551675215540761,0.927734375,0.5965494791666667,1.9222386275750545,0.8899739583333334,0.46298828125,1060.3675208333334,106.5,2761.0,13732.0,17615.0,80.5234375,740.7662760416666,1536,1536,1536,48000,4800000,1536
32,0.875,8192,128,3.183040334536097,0.7586458333333334,0.23834,8.202465465876571,0.5242708333333334,0.06391625,0.423828125,0.14408333333333334,0.423828125,0.8912592790744333,659.4088541666666,659.4088541666666,739.8619791666666,8.882477983601579,0.380859375,0.042877604166666666,679.5454545454546,0.19466145833333334,0.00028645833333333333,1.5548451156040983,0.927734375,0.5966731770833333,1.9113289423792605,0.8860677083333334,0.4635872395833333,1059.7341875,107.0,2760.0,13732.0,17615.0,80.453125,746.9739583333334,1536,1536,1536,48000,4800000,1536
33,0.875,4096,128,3.163163232699335,0.7589166666666667,0.23992333333333332,8.167519915442453,0.5248125,0.06425604166666667,0.421875,0.1460625,0.421875,0.8907710079038982,656.1705729166666,656.1705729166666,736.6321614583334,8.705457825890843,0.376953125,0.04330078125,679.5454545454546,0.19466145833333334,0.00028645833333333333,1.5534044083981948,0.927734375,0.5972265625,1.9107207990797117,0.88671875,0.4640755208333333,1055.912875,107.5,2715.0,13732.0,17615.0,80.46158854166667,761.431640625,1536,1536,1536,48000,4800000,1536
34,0.875,inf,unclipped,2.5284219615993337,0.7917916666666667,0.31315645833333333,4.16225897629642,0.6197083333333333,0.1488875,0.0,0.0,0.0,0.0,0.0,0.0,518.51171875,7.013622818220519,0.4290364583333333,0.061171875,109.6774193548387,0.19921875,0.00181640625,1.5191299818214676,0.9303385416666666,0.6124153645833333,1.6902094495859716,0.9036458333333334,0.5346354166666667,986.837,47.0,2713.0,13732.0,17615.0,518.51171875,518.51171875,1536,1536,1536,48000,4800000,1536
35,0.875,8192,unclipped,2.5132672738815884,0.7925625,0.31535145833333333,4.123166653791398,0.6226875,0.15102166666666667,0.0,0.0,0.0,0.0,0.0,0.0,516.705078125,6.765042086667359,0.423828125,0.06264973958333334,113.05970149253731,0.197265625,0.0017447916666666666,1.5186133752749762,0.9303385416666666,0.6126236979166667,1.6838212034941722,0.9010416666666666,0.5351171875,985.4366875,48.0,2713.0,13732.0,17615.0,516.705078125,601.4661458333334,1536,1536,1536,48000,4800000,1536
36,0.875,4096,unclipped,2.4822470593378543,0.7925416666666667,0.31928395833333334,4.041862241374173,0.6217916666666666,0.15383791666666666,0.0,0.0,0.0,0.0,0.0,0.0,514.2799479166666,6.63129973474801,0.4231770833333333,0.06381510416666666,113.80597014925374,0.19856770833333334,0.0017447916666666666,1.5157304801936058,0.9296875,0.613359375,1.6779257387247277,0.8990885416666666,0.5358333333333334,983.3852708333334,50.0,2712.0999999999985,13732.0,17615.0,514.2799479166666,702.6790364583334,1536,1536,1536,48000,4800000,1536
